Title,Latitude,Longitude,County,Visited,Date,HeritageGroup,Link,Note
Minnowburn,54.548434,-5.952616,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/minnowburn,
Mount Stewart,54.551498,-5.60127,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/mount-stewart,
Murlough National Nature Reserve,54.234,-5.8636,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/murlough-national-nature-reserve,
Rowallane Garden,54.447102,-5.82684,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/rowallane-garden,
Strangford Lough,54.373741,-5.579002,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/strangford-lough,
The Mournes,54.171137,-6.083736,County Down,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/the-mournes,
Durham Coast,54.823619,-1.322313,County Durham,no,,National Trust,https://www.nationaltrust.org.uk/visit/north-east/durham-coast,
Castle Coole,54.336184,-7.624401,County Fermanagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/castle-coole,
Crom,54.162601,-7.44284,County Fermanagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/crom,
Florence Court,54.258301,-7.72989,County Fermanagh,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/florence-court,
Mussenden Temple and Downhill Demesne,55.16789,-6.81085,County Londonderry,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/mussenden-temple-and-downhill-demesne,
Portstewart Strand,55.172117,-6.724648,County Londonderry,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/portstewart-strand,
Springhill,54.68729,-6.657566,County Londonderry,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/springhill,
Gray's Printing Press,54.82549,-7.463395,County Tyrone,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/grays-printing-press,
Wellbrook Beetling Mill,54.655052,-6.839538,County Tyrone,no,,National Trust,https://www.nationaltrust.org.uk/visit/northern-ireland/wellbrook-beetling-mill,
Acorn Bank,54.646301,-2.59228,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/acorn-bank,
Aira Force and Gowbarrow Park,54.5751,-2.92949,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/aira-force-and-gowbarrow-park,
Allan Bank and Grasmere,54.460536,-3.029754,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/allan-bank-and-grasmere,
Arnside and Silverdale,54.189403,-2.844373,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/arnside-and-silverdale,
Borrowdale and Derwent Water,54.58304,-3.12789,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/borrowdale-and-derwent-water,
Buttermere Valley,54.51402,-3.27848,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/buttermere-valley,
Claife Viewing Station and Windermere West Shore,54.351458,-2.942319,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/claife-viewing-station-and-windermere-west-shore,
Dalton Castle,54.153801,-3.18896,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/dalton-castle,
Ennerdale,54.524792,-3.414473,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/ennerdale,
Eskdale and Duddon Valley,54.39935,-3.26743,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/eskdale-and-duddon-valley,
Fell Foot,54.27402,-2.952607,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/fell-foot,
Hill Top and Hawkshead,54.351101,-2.97054,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/hill-top,
Historic Steam Yacht Gondola,54.363899,-3.06483,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/steam-yacht-gondola,
Keld Chapel,54.523859,-2.691178,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/keld-chapel,
Sandscale Haws National Nature Reserve,54.170756,-3.225736,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/sandscale-haws-national-nature-reserve,
Sizergh,54.284168,-2.771612,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/sizergh,
Stagshaw Garden and Ambleside,54.417745,-2.956934,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/stagshaw-garden-and-ambleside,
Tabitha Twitchit's Bookshop,54.373798,-2.99525,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/beatrix-potter-gallery-and-hawkshead,
Tarn Hows and Coniston,54.387268,-3.038192,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/tarn-hows-and-coniston,
The Langdales,54.44897,-3.090295,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/the-langdales,
Townend,54.412498,-2.91477,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/townend,
Wasdale,54.45607,-3.26293,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/wasdale,
Whitehaven Coast,54.543763,-3.598891,Cumbria,no,,National Trust,https://www.nationaltrust.org.uk/visit/lake-district/whitehaven-coast,
